Name,A,B,C,D,Lx(ns),Ly(ns),Lz(ns),R(m)
W1,-,-,-,X,76.69,11.67,-108.36,39.95
W2,-,-,X,X,49.29,-123.87,-67.42,44.79
W3,-,-,-,X,96.46,-248.46,-136.94,89.83
W4,-,X,X,X,156.49,-407.06,-225.51,147.19
W5,-,-,-,X,228.83,-597.84,-331.98,216.18
W6,-,-,X,X,311.96,-817.22,-454.39,295.51
W7,-,-,-,X,405.7,-1064.49,-592.36,384.93
W8,X,X,X,X,509.53,-1338.54,-745.23,484.02
W9,-,-,-,X,623.12,-1638.19,-912.51,592.39
W10,-,-,X,-,747.12,-1962.88,-1093.09,709.81
W12,-,X,X,-,1021.28,-2683.76,-1494.63,970.49
W14,-,-,X,-,1328.35,-3496.2,-1948.61,1264.29
W16,X,X,X,-,1667.27,-4396.35,-2452.41,1589.8
W18,-,-,X,-,2040.62,-5381.34,-3002.15,1946.02
W20,-,X,-,-,2446.13,-6447.72,-3596.19,2331.63
W24,X,X,-,-,3353.71,-8816.08,-4910.74,3188.05
W28,-,X,-,-,4391.16,-11485.64,-6382.93,4153.44
W32,X,X,-,-,5470.5,-14443.13,-8061.25,5222.88
W36,-,X,-,-,6671.47,-17678.17,-9883.19,6392.71
W40,X,-,-,-,7988.65,-21181.36,-11844.8,7659.49
W48,X,-,-,-,10925.7,-28961.66,-16194.06,10473
W56,X,-,-,-,14206.44,-37731.09,-21114.62,13643.97
W64,X,-,-,-,17842.85,-47447.29,-26566.65,17157.45
W72,X,-,-,-,21802.57,-58074.16,-32540.96,21000.19
E1,-,-,-,X,151.26,23.33,-218.44,79.96
E2,-,-,X,X,37.71,135.65,-50.59,44.85
E3,-,-,-,X,73.37,271.95,-103.23,89.94
E4,-,X,X,X,118.76,445.77,-170.46,147.44
E5,-,-,-,X,173.02,653.27,-250.51,216.07
E6,-,-,X,X,235.66,893.16,-343.18,295.42
E7,-,-,-,X,305.29,1163.76,-448.46,384.93
E8,X,X,X,X,381.68,1463.33,-565.35,484.02
E9,-,-,-,X,465.79,1790.89,-692.95,592.38
E10,-,-,X,-,558.29,2145.87,-830.16,709.79
E12,-,X,X,-,765.39,2933.01,-1133.62,970.21
E14,-,-,X,-,999.66,3822.35,-1475.27,1264.33
E16,X,X,X,-,1257.45,4806.65,-1855.04,1589.92
E18,-,-,X,-,1548.02,5883.17,-2264.55,1946.03
E20,-,X,-,-,1868.27,7049.02,-2704.15,2331.68
E24,X,X,-,-,2552.45,9638.2,-3698.88,3188.13
E28,-,X,-,-,3331.17,12556.45,-4814.9,4153.44
E32,X,X,-,-,4180.34,15789.68,-6060.6,5222.93
E36,-,X,-,-,5118.75,19326.37,-7416.8,6392.82
E40,X,-,-,-,6127.38,23156.24,-8890.33,7659.65
E48,X,-,-,-,8324.92,31661.66,-12190.73,10472.93
E56,X,-,-,-,10813.96,41248.78,-15902.56,13644
E64,X,-,-,-,13620.16,51870.75,-19982.12,17157.37
E72,X,-,-,-,16204.22,63678.31,-24269.82,20999.45
N1,-,-,-,X,2.24,0.05,1.71,0.84
N2,-,-,X,X,-100.24,-15.93,152.45,54.91
N3,-,-,-,X,-174.91,-27.56,262.39,94.9
N4,-,X,X,X,-249.59,-39.15,372.31,134.89
N5,-,-,-,X,-361.68,-56.66,537.09,194.86
N6,-,-,X,X,-495.22,-77.43,733.79,266.41
N7,-,-,-,X,-645.82,-100.9,955.52,347.07
N8,X,X,X,X,-812.58,-126.88,1200.98,436.37
N9,-,-,-,X,-995.39,-155.53,1469.71,534.19
N10,-,-,X,-,-1193,-186.06,1760.66,640.03
N12,-,X,X,-,-1632.09,-254.47,2406.72,875.11
N14,-,-,X,-,-2126.47,-331.52,3135.28,1140.07
N16,X,X,X,-,-2673.19,-416.88,3943.1,1433.62
N18,-,-,X,-,-3271.25,-510.29,4826.72,1754.71
N20,-,X,-,-,-3917.13,-611.39,5784.82,2102.44
N24,X,X,-,-,-5538.93,-865.16,8187.02,2974.68
N28,-,X,-,-,-6976.44,-1089.3,10305.16,3745.05
N32,X,X,-,-,-8769.76,-1369.81,12961.02,4709.44
N36,-,X,-,-,-10732.66,-1677.65,15864.79,5764.25
N40,X,-,-,-,-12857.81,-2009.03,19009.59,6906.45
N48,X,-,-,-,-17583.09,-2747.09,25991.26,9443.5
N56,X,-,-,-,-22918.88,-3578.9,33852.66,12302.77
N64,X,-,-,-,-28827.03,-4500.61,42565.13,15470.7
N72,X,-,-,-,-35282.55,-5508.69,52098.85,18935.62
